"","id","puzzle","solution","clues","difficulty","level"
"16",234694,"..62..19.....8.42......56...7............8.1.39.4..26...1......5.2..18..7..3.....",8.56243197913786e+80,24,0,"Easy"
"17",1860417,".....52..7.5..1.6.91.2.....5...4....8.4.....936...85......8..46...7....3.....6.9.",4.36895271725432e+80,25,0,"Easy"
"18",2094905,"....9..231.....9...36..8..1.1284.7..4.92.....5....7........1...8..96...7.4....1..",7.84195623125674e+80,26,0,"Easy"
"19",2641287,"65.9..1.......8.9.....62.3.9..1.4..8..........24..3.......8.91.58..3..6...962....",6.53947182472319e+80,26,0,"Easy"
"20",1690128,"...87...4...3.9...7.........45..3...26..5...9...94...5.......32.2.7.649..7..1....",6.31875924854329e+80,25,0,"Easy"
"21",1238880,".39.8....6.....17......5.4..18.........6..2.3...8..7..4.........671..5...2....83.",7.39481652645932e+80,23,0,"Easy"
"22",2471219,"95..2...8.......3....8.4.....673..5..7.......5....69..6..3....4.....7..628.6.5...",9.54123768168579e+80,24,1.5,"Easy"
"23",1536150,"..81.....9.7..3.5.1......32..5.3.9...62..7...7.....4....6.253.4...7.4..5....6....",6.38152749927643e+80,26,1,"Easy"
"24",851204,".27..453......6....8.53.......9..4.....1.276.24..68.9.7...8....862...3...9.....5.",6.27894531513277e+80,28,1.9,"Easy"
"25",2132424,"...1.6...5.9.........45236.......12......48......8..43..3...67.81.6.5..224.......",4.32196785569873e+80,26,0,"Easy"
"26",2547416,".......71.8.....3.....9..5...4.8.7......1.2.32...45......7.1...5....4.9.83.96....",6.93528471185477e+80,24,0,"Easy"
"27",2013072,".8.697..1..7...8..3.........7.8........349.........564.927.3........23.8...915...",4.85697231267135e+80,26,1.9,"Easy"
"28",2769643,".............54....413..9..2..68....5.4..3..71.8...3.........2...5..1....9.2..65.",9.57816243382954e+80,23,0,"Easy"
"29",2022266,"........56...1..9..5..9413.2.64..8..1.8...2......6...3.4.7....9....4..2...5......",4.19823765683517e+80,24,1.3,"Easy"
"30",993414,"8....431.........27...984..2.....167..6..7.....48......4..79.........5...5...69..",8.65724319491654e+80,24,1,"Easy"
"31",841229,".4.19...6..9....7.....6.3....7........3..598.1..248....35..2...........5.1....74.",3.48197256659823e+80,24,0,"Easy"
"32",2438500,"7...2..93..........2..58.7..578.......2...3.43.9....1..3..45.........962.....6...",7.68421593513697e+80,24,1.3,"Easy"
"33",1416511,"..2..9..1.5.....3......57.....3..9.87.9.2.......6.7.2.......36.32846........5....",6.32879451857146e+80,24,1.5,"Easy"
"34",2364114,"59.7.....1....69.8.64.....3.......7...2.45......8......59....87.4..3.2..8..97...4",5.98723641137457e+80,26,0,"Easy"
"35",70474,"93.........7.2...12...4..6..9.5...7......8....8..6.24...2.3..15........6.75......",9.34671582657829e+80,23,0,"Easy"
"36",1066721,".....7.6..1....3..967..5.2...8..9......846.9...2.3.......98...57..........3....84",8.34297561215468e+80,24,1.2,"Easy"
"37",2664878,".........1..9..28.5..3.4..9....3...8.23.6.5...6...5..........6.9.....42....4.27..",2.94178356137956e+80,23,0,"Easy"
"38",245243,".........3.1.....85..239..11.2..8..68.....1.2.3...6......3..8.....4.2..3....7.49.",6.27814359391567e+80,25,0,"Easy"
"39",2528664,"..3........64.9..8.....1.49....7..86.7..2.9....9..57.12......9..1..54...6..7.....",4.93287165156439e+80,25,0,"Easy"
"40",1171890,"2...8.....74..........958....9.1..........3........426.629..78.73.85...9....6....",2.95483617874127e+80,24,1.3,"Easy"
"41",1453402,"7.3..612...4..23...6.....9.1....8......45..89..2.........71....6.....74.....9..3.",7.53946128914582e+80,24,1,"Easy"
"42",2782297,".....198.....25...32....6...7..........1..8.485.9...235.1.3.....42..8.1.6........",4.65371982918625e+80,25,0,"Easy"
"43",1041036,"....7.84......9.....9.1.2....79....3....54........275..4.8..5..1........53....472",2.15673849384529e+80,24,1.9,"Easy"
"44",1012509,"3....4..85..9..6..6.8..217.2.68....1.1.52........6.7.........8....19.....2...89..",3.72614598541988e+80,26,0,"Easy"
"45",74876,"8.3...25..1..9..3..7.3....63....962...7..4..3..1..2..7.....8....42..........5..9.",8.63417259215897e+80,25,1.2,"Easy"
"46",2734426,"..26...83.4......2....93..6...5.......4.2..7.8..1...2.1.....9.7.....7....964.....",9.12645783643782e+80,23,0,"Easy"
"47",2909452,"8....27......5.9.......1..3.7...5...1...9..42......8..61..7...4.....4.3..2.1.6..7",8.64932751231458e+80,24,0,"Easy"
"48",1111612,".........8....476...97.583..86.9.......2......2....15......394.3.7..8....54.....8",6.75832491832915e+80,25,0,"Easy"
"49",697430,"...6.7.12.3...26.8.6.......7......43.4...8.9...8.79...2.....3...5..93......7....9",4.85637912137943e+80,25,1.3,"Easy"
"50",2116929,"7....1..6...9......4...23......245....5...13....3...89..9...61...3....4242..6....",7.38451926512937e+80,25,1,"Easy"
"51",1060623,"4.......9....4.6....7...2......39....28.7.9.437.4..8.......5..........15.92..7...",4.13762589285944e+80,23,0,"Easy"
"52",358258,"...28.....7......25.1..3...314..587......7.95...6..1....93...1.....1......8.....9",4.93286751876452e+80,24,0,"Easy"
"53",606837,".69.2.5......5.......7381...4....72........6.28.........38..9...1...3...87.1.92.3",7.69421538138956e+80,26,0,"Easy"
"54",2496355,".1.9..2..9..6.4...5....8......7......4...2.......86..9..7....9...9.7..1682....5..",3.16957284982615e+80,23,1.9,"Easy"
"55",2123737,"..2.87.9...42..6.8.....3......5...3....3....2.5671...........8..6......71.8....54",5.12687493934252e+80,24,0,"Easy"
"56",1795438,"...5.....3.24.....6..3...7........82.15......7...23.......8756......1.2.18...5..3",8.7156234935248e+80,24,0,"Easy"
"57",1510193,".....3..1.5........7.9...6..4..8.2...82.547..6.............2..7...36..1.....9.5.8",2.68573941953417e+80,23,0,"Easy"
"58",1322291,"...87..6.......4..4.....2.1..6.....5.15..2..6.2.5.7.......2.9...5.........4.1.387",1.32874569569231e+80,24,1,"Easy"
"59",2179708,"......9.......1..7..9.3.85...56.......8..9...24.7.......4.5..3.1.......2.7..1.69.",5.27468913386591e+80,23,0,"Easy"
"60",706970,"..31.......9.7.1.51...247...5......4...2..6...9.4.8....3..9..4..25..6.........2.3",5.73189426249673e+80,25,1.9,"Easy"
"61",2077743,"97.42..6.....8...7......24..3.8.6.....93418....4..5..........3....9.....78..3.4..",9.75423168246189e+80,25,1.2,"Easy"
"62",1070414,"6...4..792....8...593..........971.6......7.......6.45...7...933...24......5....8",6.18345279247968e+80,25,0,"Easy"
"63",524833,"...7.......4.8..399..6.....1..4.6....5..3..82..21..6........7.4.68....1.......5..",8.13792456674581e+80,23,0,"Easy"
"64",1823403,"..5..1..6...4.....4.826.5.......29..79........1.58...3.4.1..7....98..43.........8",2.75391846961458e+80,25,1.7,"Easy"
"65",972301,"...........7.954..4.8.....6.....27.357.6....13.6.1...2.....43...8..56..9.9.......",9.31468275627195e+80,25,0,"Easy"
"66",280929,"...3.481.4....86...82.....9..319........7.9...9....5.4...21......6.3....3........",7.69354812431929e+80,23,1.8,"Easy"
"67",911186,"47..19.3....7.....2...43..91.3..78...9....31..6.......7...51..2....8....31.4.....",4.76219538938765e+80,26,1.6,"Easy"
"68",600675,"49..5.2.7.1..2....6...7.4.5..17.........849.2.2.............786.7.5....996.......",4.93851267517426e+80,26,1.5,"Easy"
"69",530479,"..3......4....13.61...8..7.2.9....6..41.2..8......79.5...5.2..7.....845..1.......",7.53269841482751e+80,25,0,"Easy"
"70",1247413,"864.1.....3......7...9.6.....2..1......3...94...8..15....6.....4.52...89......23.",8.64715923139429e+80,24,1,"Easy"
"71",2425285,"59..1...6.....81.98...6.5.....7.......3.2.9..978....3........572.1.........23...8",5.94312786632578e+80,25,1.4,"Easy"
"72",515946,"5..1....62......1..8..6...5.27.1..4......539....4.....8......39.1387......4.5....",5.39187426276595e+80,25,0,"Easy"
"73",1411965,".8.9.3.6..2..7......78..4.99......3......8....51.....66...1......5.......3.....57",1.84923765529477e+80,22,1.9,"Easy"
"74",2857540,"....4..6...62.3........6.7.18.6.2..5.695....2.2....8...148.....8......3.7.....45.",3.58741269976253e+80,26,0,"Easy"
"75",437716,"..........7..9...4.25..8...69.1...7......9.63..3.6.28.4...1..92.3...6.....2.43...",8.64321957371696e+80,26,0,"Easy"
"76",68555,"1....39....3.....8.95.28..4..6.8....4.......5.5.9....2.....6.41....3....6..5...79",1.6845392724318e+80,25,1.5,"Easy"
"77",371707,"6..947....27...9....35......5...1.2....6.2......43.7..5..7....3..639...7......86.",6.15947382827164e+80,26,1.3,"Easy"
"78",2705848,"....82.....1.7.6...2....3.8.8.53......319..7......4..67.5..1....9....7.........2.",5.36482197841974e+80,23,1.8,"Easy"
"79",898292,"..1.....92...........5.6.8.9....7.5.87.49...6..31..7....5..2...76..............14",6.81273549257984e+80,23,1.2,"Easy"
"80",688108,"..68.9.......5...68..4....7........81.3.6....5..1..4....12.......7....53..9...81.",2.76839541914752e+80,23,1.9,"Easy"
"81",1954219,"..4..........1.2.....3.5.1..3.97.52...5...78..6........5..89..4...4...7..73.5....",3.14297658597816e+80,24,0,"Easy"
"82",2207310,"6......3.5.....9.1..8....7.1....5..8.6....41.....3......7..9....426.....3..2...5.",6.91572834574864e+80,22,0,"Easy"
"83",532921,".2...35....38.....8..12.9..4...37..2..2.....8.7..4..5....78563.3......1.5......2.",1.26973584793854e+80,27,1,"Easy"
"84",1443851,".......53.2..9.6....62....77.......8..95......5.46.....4.......5...4.8..8...1.3.2",9.71684253325198e+80,23,0,"Easy"
"85",734899,"....8.1......7.5...4.2.9....13...27..2.....69.974.....2..9...1........8...8..57..",5.62384197389672e+80,24,0,"Easy"
"86",2285280,".7.5.......2.6...861.3.2..9..3..7..4..........5..9.71...78......9...41....69.....",3.79548621542169e+80,24,0,"Easy"
"87",2400298,"9.......4.....7.9.341..2.....3.7.4.2.1.2.9....7.48....2..568..175....6.9.........",9.87316254625847e+80,27,0,"Easy"
"88",1262738,"7.....4......6..93.8..52...27.9..6..64.....2......7......1..5.8..9..5.4.........6",7.26319485514768e+80,23,1.2,"Easy"
"89",2358278,"7...42......9...7.29...81....3..4....7.6....8..4..7.5.5..1..34..16.........42..8.",7.61542839348961e+80,26,0,"Easy"
"90",2545140,".5....9..1.6........23.9..66.3.2...14......5....4....2.....62..5...1.....1.948.6.",3.58164927196783e+80,25,0,"Easy"
"91",2114218,"5...6......3....9....3.42........8.1...5...7.48.2..6...1.6...3.........73..9.85.4",5.29167348143853e+80,24,0,"Easy"
"92",2806797,"..1.6......3.5..2.7......4...4.....9..2.438..13...6....5..8.172...7..59..8.......",9.4126738586346e+80,25,0,"Easy"
"93",1102144,".6.85.....2.1....73..2.7...6...4.9.3.....87.2.5....1.4....3.....1....8....9..1...",1.67854329928164e+80,24,1.3,"Easy"
"94",638721,"....2...5.53...47......96..4...8.........2..8.91..5...2..8....134........6.5...87",6.14723895953618e+80,24,0,"Easy"
"95",2327319,"..8....1...6.417..9..72...4.......3..4..92.......3.8.......4....5..7....281.....6",4.78965213326842e+80,23,0,"Easy"
"96",1066530,"....9.....735.29...9....21.......7..58.9.4...1.......9..........4..21.63...38...7",2.51496378873513e+80,24,0,"Easy"
"97",2570865,".6..14....9...72.....9...1..8...2....475.83....2.7...9......8.76.....9.1.7.2..6..",2.65314798491867e+80,26,1.5,"Easy"
"98",2046957,"..1.6...3.....9..4...41...2.....35...14.7.8..67.1.......9.5.....8....2..4..2...38",7.4156298356239e+80,25,0,"Easy"
"99",2489659,".......7.........421..3...83.4..72...9.81..631.....8........9..9..6.5....46..2...",4.38256179659178e+80,24,1,"Easy"
"100",2432651,".1..8.4.....9....2..4...1..6.....31.5...62...7934...........52.32....9.8...5.....",9.16283475857942e+80,24,1.1,"Easy"
"101",2640108,"4.2...6.....3.17..97..4....23...9...6.....5....8....1.3..9.5.7....6....3...1..9.2",4.12798635865322e+80,25,0,"Easy"
"102",1862784,"..53.....6.9.5.21..1..648.3..75.3..89..4.....25.......3......2...8.4.....7...6...",8.45312679639857e+80,26,1.2,"Easy"
"103",2019636,"7..3...854....1.3......9.....29.7.14...83...69..........615...2....2.....7....86.",7.91342685458671e+80,25,0,"Easy"
"104",557781,"3...67.42.1............96.7.94..........8..355...4...6..7..2...1....5.......9..5.",3.89567142716429e+80,23,1.3,"Easy"
"105",2052703,"1.3..2..88....1....7........16..5.39....8...59...3..2.....4.7..3.162.....67...2..",1.53762948849352e+80,26,0,"Easy"
"106",2674148,"8...7......7.4...2.5....94.7..51.....6....3........5.....2...5.3.59..7...74.....8",8.42679135937146e+80,23,1.2,"Easy"
"107",2342979,"..4761.8.5.1...7......3....8.....2..1..3.......74...5.9.2.8.....6...9.71...5.....",2.94761385531825e+80,24,0,"Easy"
"108",1351691,"...5..3..62.3.....5..9.2.1..82..3......6.9..1.7.......89.4....6.......7.41......2",7.41568329629318e+80,24,0,"Easy"
"109",1697845,".3..9.4...8..7...2....3...8..8......59..1....1......852........7.19..36....7...1.",6.32895471985472e+80,23,0,"Easy"
"110",2208507,"57........2.98..1..3...45.2.8.....7......285...5........7...46..6..7...9..9.2....",5.78231946426985e+80,24,1.5,"Easy"
"111",1443374,".4...85.......6..9..2.9..6..2.....8.35.4....1.....14........9...1.3.7..8..3.4....",6.49738512875126e+80,23,1.3,"Easy"
"112",1733030,".8.7..4....4138.....7....5.....63..91.2.9.57.9....1....2.....6.....4.1....63..2..",2.89756431654139e+80,26,1.5,"Easy"
"113",2802847,"..6..1..3..924..5.2....9...7..8....1.31..............24.3..82..........76.5..734.",8.46571923319247e+80,25,1,"Easy"
"114",2463229,"...26....4.38..7.......1...2..4...8...5..269...4.....1...1...7..1.6.92...9...3...",7.51264839463896e+80,24,0,"Easy"
"115",2477146,".8..9....3...47.2.......51..2.1..9.4.....41..1...65....9.8...7.......2....7.3..6.",5.82691347319548e+80,24,1.7,"Easy"
"116",1807115,".6..5..38...62.............5.....9..1...9..2.4.....56..8...73.......4.1..9.13...6",9.62751438345628e+80,23,1.9,"Easy"
"117",1956132,"3....97.6..61...3........1.6.4.2..791..9....8.2.........2..3.4..9..573..4........",3.15249786286176e+80,25,0,"Easy"
"118",1471984,".6......48....7.9...9....2773.15....6..4..9......2.....2..65...18....4..........6",2.67593184851248e+80,23,1.1,"Easy"
"119",1473205,"6.5..9.3...9..3......1....5.2.......9...1.7....6.8.94.548.....1.....4.5...3.....7",6.75429138189563e+80,24,1.6,"Easy"
"120",2990642,"4..76.812...4......12........5...3..........8387...24.9...1.58..4657...9.....8..3",4.39765812568422e+80,28,1,"Easy"
"121",2201904,"5..9...7..3.4.1...248......7.....938.....2...........536....5.1....9.6....2.85..9",5.16928473937462e+80,25,0,"Easy"
"122",1436729,"6..9..3....3......9.75..2.......2.5.....96..8.1.83.....54.2.7..8.........91....4.",6.25984371143268e+80,24,1,"Easy"
"123",1466615,"9...3.......4.7..6.7.....4.5......8...8751....64......6.538...2....46..........93",9.46538127251498e+80,24,0,"Easy"
"124",1774404,".5.4.....6...3.1..73...29.....5....8.....9.4...1.....2.......7.8497...6.......2..",1.52497836694835e+80,22,1.3,"Easy"
"125",434185,".2...3......1.7......98....47........1...678..9..3...6..781.65...8...2.1..2...3..",5.21643897689128e+80,25,1.4,"Easy"
"126",1471215,"...13...5......91...4..87..8.....47..1.7...5.2...5.....3.......7.....6.....9238..",6.97134285385277e+80,23,1.5,"Easy"
"127",1468807,"8.2.9..7.9......64...2.....45........6....4.8....32....2.1....77...5.3...4...7..6",8.32694175915783e+80,24,0,"Easy"
"128",1352135,"17.29....6...5.3.......4.15..7.....3......2..3....8.6....5.9.......2..8128..3..9.",1.75293846648751e+80,25,1.4,"Easy"
"129",128455,"2.95...1..6..3...5.......27...8..2.1...3.......7..6.....12..8...7.....92..3.5....",2.39587614764133e+80,23,1.8,"Easy"
"130",294584,"6....9....4.2..5..8.2.1....2....6..9.....47.373...........98.7......7628.7.4.....",6.53749281147284e+80,25,1,"Easy"
"131",2806330,".....6.3.6...9....784..1......1......58..3.292..5.81...........8.9.5...6..3..49..",9.25476831631895e+80,25,1.4,"Easy"
"132",2525845,"2.396..1.76.2.1.8...9...2.4..87.6....1.5....6.9............38..5.....4...3..1....",2.83964517764252e+80,26,0,"Easy"
"133",1391782,"3....7..4.4..6.3.9..69.....2......8659..7..........2...2...4.......1.53....3.84..",3.59287614842165e+80,24,1.8,"Easy"
"134",1602191,".7..8.....2.9.54...8....2657...3..8..45.7..3.......5...31....2....7.9.........6..",5.76482391123965e+80,24,1.9,"Easy"
"135",2728535,"5...8...99......17.6..7...5...........236..4...4..8.3..4....8.....4.169.3.1......",5.17284369928635e+80,24,0,"Easy"
"136",1628924,"....6.9..1..75......8..4...9..4....8.......7.85..9.1.......7....1394.76...2...3..",4.75863921126759e+80,24,0,"Easy"
"137",1942163,"..72.4...........4...3..12..45..927..28....5..9....3....47....1....1.....5..3.89.",6.17254983532892e+80,25,0,"Easy"
"138",2526683,".....97..3......6..6.37..58.......8.9.48.....7...1...4....5...3.5.9.724....23....",5.18649732372185e+80,25,1.6,"Easy"
"139",2091214,"3...7....9.......361...5.9......37......9..8...742.96..5..6.......7..64.2.4.8....",3.45972816978146e+80,25,1.9,"Easy"
"140",1020408,"..91......1...6.5.46..2...3.......2968..9.....95.....173.6...1.....498.7.........",8.59134276312976e+80,25,1.5,"Easy"
"141",211737,"...2769..5......4.........2.734.5.9...........2.1..8..9.1...3.86.........8..3...5",3.48276951562892e+80,23,0,"Easy"
"142",469137,"1.....86.928.......6......95..78.9.........32..2.41.8.....3...6..1......3..8.4.7.",1.75429863928614e+80,25,0,"Easy"
"143",713863,"..4..5..9...9.12.89.....1.....87......16...3.2.....4..5.7...3.2.....2.......3..8.",1.24385769376941e+80,23,0,"Easy"
"144",155306,".2.81..5.89..26..3..35..4..2.1...8.93....2...9...6.5.....9.57.8....8...........9.",4.27813956895426e+80,27,0,"Easy"
"145",1247948,"..58..9...........6...7.8...4.9.7..2.5.6..78...1.5...4..2..813616.........7.9....",7.25863941984521e+80,26,0,"Easy"
"146",1054484,".7......12.68.15..9....5.671.7.9...3..5....8......3....5....6......8.27...17.....",5.78964321236872e+80,25,0,"Easy"
"147",1108002,".851...9..74..5............5.789.1...........9...4...335...4..6..1..3.5.........2",2.85136497674926e+80,23,0,"Easy"
"148",715138,"..8.3.7..3..9...819...4.......5.7.3........5..274.......1..5....56.1....4..8.....",6.48231795372957e+80,23,0,"Easy"
"149",2787070,"9.2...64......95......4......7..8..6...45..7..519..8......8.....86.2..313.....4..",9.1287564387437e+80,25,0,"Easy"
"150",1267049,".79....1....5..29...12.4....3.....82.8.9.....1...3...........6..5...7...7.8.65..4",2.79683415843571e+80,24,0,"Easy"
"151",483426,"...89672..2...4...5....7.....1....4875...8.9...2.........2...........167.85.....4",3.14896725627515e+80,24,1,"Easy"
"152",2922287,"...31.........85......47..34......9.865......39..6..1..........7..5.42....31..4.6",6.74315928139629e+80,24,0,"Easy"
"153",2556094,"......7....8..9..271.54.3.6.86..317...9......1.......5...16.5......8.....4......9",4.95632781368720e+80,24,1.7,"Easy"
"154",972328,".....7...17.95..2.8..2...9...2....87.....3.....84.65.......46.3.163.....4.......2",3.29647158174958e+80,25,0,"Easy"
"155",2684845,"4...9....7......2...2....18..386.7..........9..5.7.........2....176.98..63.1...5.",4.51298673798316e+80,24,0,"Easy"
"156",2419875,"...........1.....3.47...5..6....28.1....53......19..2....3.19....59...4.4..7..3.2",5.82637194961584e+80,24,0,"Easy"
"157",1599081,"....9...8.4..8.25...51.....2....4...67...2......6...4..1....5.....827.61.........",3.67295418149786e+80,22,0,"Easy"
"158",2099789,"....23.98.7.....42.426....5..5..6....19....5....7.2...........35..98......4...1..",6.51423798973816e+80,24,1.2,"Easy"
"159",1087110,".835...41.....3....1...9....2...1.9.5.68..7..........3.6.97.........59....7..2...",9.83527641654183e+80,23,0,"Easy"
"160",2903110,"..21....7.47..2.9...8....1...9....4.8....3...461.9...8.....4..39...3.......687.2.",6.92158437147363e+80,26,1.9,"Easy"
"161",1375905,"....3..7..9..4......3...65.....247.........1397..58...4.......2.16....8..25.6....",8.62539174597641e+80,24,1.3,"Easy"
"162",1292733,"7.....23..8..4.....9.1...7...1..982......86.5.....5.1..3.5....6.67...........2..9",7.14956238385248e+80,24,0,"Easy"
"163",1084495,"..7....5.3.4.........2...8.6.3...8.....14..63.....52..5..9..6......574.8.41......",8.97463152324582e+80,24,1.6,"Easy"
"164",1286571,".579.1......2.78..8..5....61.....5.........1893....6.2........4.....23.54.87.3...",6.57981423349268e+80,26,1,"Easy"
"165",2118383,"45....689....6...37......25...53..7......6....6.842.5.37...........8....8...2.4..",4.51273689289166e+80,25,0,"Easy"
"166",415548,"5...6.....92...5......1..7........9.....9.4...463.1.8.7.5...........8.271..2...4.",5.71462839692784e+80,23,0,"Easy"
"167",2317014,"..2.5...4....3..9...96..83....475...82.......4.6..19..26..4...1..4....8....2.....",6.32958714581734e+80,25,0,"Easy"
"168",2088325,"....1..4.......9.8.73.9..52..243...5...8...3......2..95.8.4....4..2..5....9....7.",2.96518743154724e+80,25,0,"Easy"
"169",2156261,"..3...4.9.78.4.........61834...7....9......12.2..5.......5.....89..........3.79.5",2.63815479178943e+80,24,0,"Easy"
"170",569179,"....5...9.6.4..3..51...9..61.7..5.........6...38...92.9.3..6.7......8....2..1....",3.74652189869471e+80,24,0,"Easy"
"171",2843438,"9.6.3.....1..7.....7.4.9..239..2..74..59..3.......4....2....7.5...8....1..1...82.",9.86231457412579e+80,26,0,"Easy"
"172",308908,"9......38..56...2.1...27....6.1......578....6...9...85.3.7..2.......96....2......",9.26451738375698e+80,24,0,"Easy"
"173",522358,"....8..3.9....7..87......14...86.5....23.....5...4..72..61..2.....29.....3.....8.",6.21489735943518e+80,24,1.4,"Easy"
"174",1611453,"....963.71...836..5..1......1....8.23.9....5......8..4..8...42.6........45.3.....",8.42596317197284e+80,25,0,"Easy"
"175",1592601,"...8.......7...48.....1..2.7.3.2....9..54..7...53.684...6..2.....2...5..8.....39.",2.51864937637295e+80,25,0,"Easy"
"176",717199,"2..5.1.9..8..........97..618326.7........8....9..3......71..3......241....4.....7",2.76581493189346e+80,25,0,"Easy"
"177",1716402,"..7.....6....9.8..98...43.........173.6.5......5....9....94..6.5716..2...........",1.47832956653198e+80,23,0,"Easy"
"178",207810,".....8..2.....54872.4.......9..64...836...........1..8.6.1..3...2197....3......15",9.57648132613296e+80,26,0,"Easy"
"179",905629,"....75..6.654...83...8...17.7.......9...1....43......8.8.....25....9.3....4......",8.91375246765422e+80,23,0,"Easy"
"180",1691187,"..2....58......49.64.....73..3.1...5.96......1..6...4.7......2.....3.8..2.9.4...1",9.72364158385271e+80,25,1.7,"Easy"
"181",986744,"....7.5.1..6..3...9.....2...1......669.83.....75.......8.....9.3..2...1....56.8.2",4.38972561726154e+80,24,0,"Easy"
"182",618235,"2..4.......47.8.6..8..63.72......7.8..9.1.6....35.....6..8........13..5..3...4...",2.76451389394729e+80,25,1.2,"Easy"
"183",1016513,"598......7...83..5.1.7...9.........1...476.8..7.2..6....9......124.....9.....5.6.",5.98621437746983e+80,25,0,"Easy"
"184",2314461,"7...8...9.6..........2..3...4...693.....2...1..8.4..5...6...51..1.9.87...8.3.....",7.23685149964138e+80,24,0,"Easy"
"185",809211,".5.....47..297...6...8..........34.1...2468.........9...7....2..26...5..18......3",8.59362147412975e+80,24,1.1,"Easy"
"186",1016933,"329.4........5....4....3..2...7...83..6..1.2..8....4.......7.5..736.9..4.........",3.29146578617258e+80,23,0,"Easy"
"187",2728032,"5.3.7...8......9.2789.......3.5..7.......25.6........1..1.364..4.7....9....8..6..",5.23479168614359e+80,25,0,"Easy"
"188",2344178,".6..1.....593........7.4..324....8...98....45....8..213.2...........3..4.7..2.9..",7.63518492459362e+80,25,1,"Easy"
"189",994729,"....4..9.....8....382...5..6.7..9...8.......7......91.....1.7345....8.2..4...7..9",7.16542398954683e+80,24,0,"Easy"
"190",433940,"....8..5.7..1.......83.72...57.64...2........8.1.7.4.....5...97.....2..3....498..",1.23486759796125e+80,25,0,"Easy"
"191",1784309,"3.7.........6......15.2...49........6.....3....45..29....84..2657.3...4....215...",3.67458912249672e+80,25,1,"Easy"
"192",2011793,"4.....83.7.8.9.....9.6......6......78....324...4...39....8..5...29....8....1.2...",4.56721839738496e+80,24,1.5,"Easy"
"193",2866448,"..3....5.1.....6.4..673...2.....89...7.....4...9.52..746..2....8............6..18",9.83246751127986e+80,24,1.9,"Easy"
"194",1525655,"..6.59..18..2.....14...758.2..1..........31.....94...351..384...........49.....5.",3.26859741875215e+80,26,0,"Easy"
"195",266092,"..3.7..5...8.63.4..9.....7...98..31.....3....4....2...5....1..8...5..69..4.7.....",1.23479856758164e+80,24,0,"Easy"
"196",468536,".4...7..3.....3.12......7.525..4..7...49..5.8..7....6..7..5....8........9..8.1...",5.49217683786593e+80,24,1.3,"Easy"
"197",2653037,"2....85..........2...3..9...6...3....2..7...634...91.59....4.....7.6.....36.1....",2.14798563893157e+80,23,0,"Easy"
"198",2991434,"9..5...4.....7..3...792.........3.8..19......68..1...75.129.......3..56..........",9.28531746156875e+80,23,0,"Easy"
"199",2080487,"4.....79.5...92.....8..........1..54.....6..2...3...7.7.....8..9.38.42....517....",4.26581793537692e+80,24,1.2,"Easy"
"200",2926812,"..6...4..14..2...6.....15...635....8.9......1.5..83.....4.68.9..............59.2.",5.36897412149326e+80,24,0,"Easy"
"201",886796,"2......5..8.65..92.6.9.8.4...2.....1....7......4..13....1.8.4.........6.8...4...5",2.79413658483657e+80,24,1.2,"Easy"
